title	gene_name	label	biosample_summary	accession	md5sum	file_format	assembly	paired_end	paired_with	output_type	biological_replicates	fn_hr	fn_acc
SLTM (Homo sapiens)	SLTM	SLTM	K562	ENCFF334ONA	c857995f9b7dc3d82f17544df2061581	fastq	NA	1	/files/ENCFF506XBB/	reads	1	SLTM_K562_rep1_R1_reads.fastq.gz	ENCFF334ONA.fastq.gz
SLTM (Homo sapiens)	SLTM	SLTM	K562	ENCFF470BUR	b21e7e985cd128333d89428ccb7dcbb2	fastq	NA	1	/files/ENCFF896KIF/	reads	2	SLTM_K562_rep2_R1_reads.fastq.gz	ENCFF470BUR.fastq.gz
SLTM (Homo sapiens)	SLTM	SLTM	K562	ENCFF506XBB	aa37a86329a1270b62913b6f00a0f018	fastq	NA	2	/files/ENCFF334ONA/	reads	1	SLTM_K562_rep1_R2_reads.fastq.gz	ENCFF506XBB.fastq.gz
SLTM (Homo sapiens)	SLTM	SLTM	K562	ENCFF896KIF	90bfd81546257d6bf2ba5e0bbd458495	fastq	NA	2	/files/ENCFF470BUR/	reads	2	SLTM_K562_rep2_R2_reads.fastq.gz	ENCFF896KIF.fastq.gz
SRSF7 (Homo sapiens)	SRSF7	SRSF7	K562	ENCFF077YYE	d44b503103cbdb5f791cd7f3be3ba42b	fastq	NA	1	/files/ENCFF447CPA/	reads	1	SRSF7_K562_rep1_R1_reads.fastq.gz	ENCFF077YYE.fastq.gz
SRSF7 (Homo sapiens)	SRSF7	SRSF7	K562	ENCFF789FCB	56972d644fbe2a84c3fd4b2269245b7d	fastq	NA	1	/files/ENCFF931PJS/	reads	2	SRSF7_K562_rep2_R1_reads.fastq.gz	ENCFF789FCB.fastq.gz
SRSF7 (Homo sapiens)	SRSF7	SRSF7	K562	ENCFF931PJS	1d2302f485e7f9d7d18ceaf58cea4fd3	fastq	NA	2	/files/ENCFF789FCB/	reads	2	SRSF7_K562_rep2_R2_reads.fastq.gz	ENCFF931PJS.fastq.gz
SRSF7 (Homo sapiens)	SRSF7	SRSF7	K562	ENCFF447CPA	346ff3f8374a2517f67421d24131e2ce	fastq	NA	2	/files/ENCFF077YYE/	reads	1	SRSF7_K562_rep1_R2_reads.fastq.gz	ENCFF447CPA.fastq.gz
LARP4 (Homo sapiens)	LARP4	LARP4	K562	ENCFF109RNC	11aa10dbe1523e580cf8c2a3bd08b851	fastq	NA	1	/files/ENCFF498JIR/	reads	2	LARP4_K562_rep2_R1_reads.fastq.gz	ENCFF109RNC.fastq.gz
LARP4 (Homo sapiens)	LARP4	LARP4	K562	ENCFF984MPJ	6662bee10717cf821d9c97a91c622f50	fastq	NA	1	/files/ENCFF780ORI/	reads	1	LARP4_K562_rep1_R1_reads.fastq.gz	ENCFF984MPJ.fastq.gz
LARP4 (Homo sapiens)	LARP4	LARP4	K562	ENCFF780ORI	86d7cd77f5ba0542a639f78031736b1d	fastq	NA	2	/files/ENCFF984MPJ/	reads	1	LARP4_K562_rep1_R2_reads.fastq.gz	ENCFF780ORI.fastq.gz
